random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
700,472,0.0272250175476074,228,Board 2,6x6,500
2424,2108,0.0758440494537353,316,Board 2,6x6,500
700,512,0.0293958187103271,188,Board 2,6x6,500
7583,7247,0.219243049621582,336,Board 2,6x6,500
3808,3482,0.1146469116210937,326,Board 2,6x6,500
853,591,0.030505895614624,262,Board 2,6x6,500
1517,1515,0.0429720878601074,2,Board 2,6x6,500
4214,3866,0.1292910575866699,348,Board 2,6x6,500
1815,1447,0.0617270469665527,368,Board 2,6x6,500
2255,1921,0.0702321529388427,334,Board 2,6x6,500
4960,4626,0.147162914276123,334,Board 2,6x6,500
1244,904,0.0447528362274169,340,Board 2,6x6,500
4711,4361,0.1402120590209961,350,Board 2,6x6,500
2800,2452,0.0858569145202636,348,Board 2,6x6,500
1369,1027,0.0468459129333496,342,Board 2,6x6,500
355,353,0.011815071105957,2,Board 2,6x6,500
503,349,0.0209128856658935,154,Board 2,6x6,500
676,488,0.02726411819458,188,Board 2,6x6,500
1974,1646,0.064033031463623,328,Board 2,6x6,500
1299,949,0.0452761650085449,350,Board 2,6x6,500
1550,1182,0.0601499080657959,368,Board 2,6x6,500
1637,1261,0.055804967880249,376,Board 2,6x6,500
720,522,0.0283842086791992,198,Board 2,6x6,500
1274,934,0.0475409030914306,340,Board 2,6x6,500
1750,1406,0.0589082241058349,344,Board 2,6x6,500
1089,747,0.0396032333374023,342,Board 2,6x6,500
519,381,0.0223281383514404,138,Board 2,6x6,500
1016,730,0.0404548645019531,286,Board 2,6x6,500
1207,1207,0.0348351001739501,0,Board 2,6x6,500
3122,2784,0.0950357913970947,338,Board 2,6x6,500
2196,2196,0.0611786842346191,0,Board 2,6x6,500
3978,3610,0.1206779479980468,368,Board 2,6x6,500
2010,1672,0.065619945526123,338,Board 2,6x6,500
347,241,0.0153028964996337,106,Board 2,6x6,500
2029,2029,0.0572559833526611,0,Board 2,6x6,500
1219,869,0.0428371429443359,350,Board 2,6x6,500
4742,4440,0.1412239074707031,302,Board 2,6x6,500
3120,2784,0.0965387821197509,336,Board 2,6x6,500
967,717,0.0363650321960449,250,Board 2,6x6,500
1340,1340,0.0380659103393554,0,Board 2,6x6,500
2200,2200,0.0618131160736084,0,Board 2,6x6,500
518,518,0.0162749290466308,0,Board 2,6x6,500
965,689,0.036952257156372,276,Board 2,6x6,500
968,712,0.0370771884918212,256,Board 2,6x6,500
1760,1450,0.0571436882019043,310,Board 2,6x6,500
3093,2783,0.0949559211730957,310,Board 2,6x6,500
3826,3506,0.1148138046264648,320,Board 2,6x6,500
4520,4176,0.135599136352539,344,Board 2,6x6,500
5487,5487,0.1502141952514648,0,Board 2,6x6,500
2607,2309,0.0815789699554443,298,Board 2,6x6,500
532,378,0.0219061374664306,154,Board 2,6x6,500
769,537,0.028980016708374,232,Board 2,6x6,500
2590,2272,0.0791521072387695,318,Board 2,6x6,500
2309,1945,0.0726239681243896,364,Board 2,6x6,500
1516,1162,0.0525059700012207,354,Board 2,6x6,500
3014,3014,0.0823690891265869,0,Board 2,6x6,500
4219,4219,0.1160709857940673,0,Board 2,6x6,500
1194,870,0.0414409637451171,324,Board 2,6x6,500
867,625,0.0331151485443115,242,Board 2,6x6,500
204,132,0.0095343589782714,72,Board 2,6x6,500
2549,2549,0.0698440074920654,0,Board 2,6x6,500
6023,5731,0.1745190620422363,292,Board 2,6x6,500
1619,1269,0.0567679405212402,350,Board 2,6x6,500
1265,965,0.0431339740753173,300,Board 2,6x6,500
4441,4101,0.131847858428955,340,Board 2,6x6,500
728,726,0.0216071605682373,2,Board 2,6x6,500
